review,stars,date,neg,neu,pos,compound
"With game zone and eatery nearby, this is very convenient.", 5 ,2022/05,0.0,1.0,0.0,0.0
, 4 ,2022/05,0.0,0.0,0.0,0.0
, 5 ,2022/05,0.0,0.0,0.0,0.0
"Best cinema in the area. Good food, great selection of drinks, comfortable reclining chairs.", 5 ,2022/05,0.0,0.408,0.592,0.9382
, 4 ,2022/05,0.0,0.0,0.0,0.0
, 5 ,2022/05,0.0,0.0,0.0,0.0
The most comfortable chairs for movies and we weren’t even in GOLD CLASS., 5 ,2022/05,0.0,0.77,0.23,0.5563
, 5 ,2022/05,0.0,0.0,0.0,0.0
Superb, 5 ,2022/05,0.0,0.0,1.0,0.6249
"Xtrem sound is good.
Air conditioning is not running.
Very suffocated while watching movie.", 2 ,2022/05,0.0,0.818,0.182,0.4404
, 5 ,2022/05,0.0,0.0,0.0,0.0
, 4 ,2022/05,0.0,0.0,0.0,0.0
Very affordable tickets for such high quality seating only issue is their overpriced popcorn and drinks overall its a really good place to watch a movie., 5 ,2022/05,0.0,0.878,0.122,0.4927
"Cinema is pretty average, leather recliner seats were old and had rips and tears. Make sure to wipe down the seat prior to sitting as mine stank from sweat from previous person, besides that the seats are very comfy. Popcorn on the floor not cleaned up, straws and wrappers jammed between seat and arm rest.", 3 ,2022/05,0.078,0.832,0.09,0.1779
, 5 ,2022/05,0.0,0.0,0.0,0.0
, 5 ,2022/05,0.0,0.0,0.0,0.0
, 5 ,2022/05,0.0,0.0,0.0,0.0
More diverse movies which i like., 4 ,2022/05,0.0,0.615,0.385,0.3612
, 4 ,2022/05,0.0,0.0,0.0,0.0
Hoyts cinemas seats are very comfortable but the review is based on the customer service which was poor., 2 ,2022/05,0.185,0.713,0.102,-0.4317
, 5 ,2022/05,0.0,0.0,0.0,0.0
"Very comfortable seating, staff are very friendly", 5 ,2022/05,0.0,0.414,0.586,0.7956
"Unable to login with valid details to book tickets, frustrating website issues.", 1 ,2022/05,0.209,0.791,0.0,-0.4404
, 5 ,2022/05,0.0,0.0,0.0,0.0
My favourite cinema in Brisbane. I would give it 5 stars but cinema 2's screen needs a good clean and food and drink is on the pricey side even for a cinema., 4 ,2022/05,0.0,0.778,0.222,0.8126
My favourite cinema. Easy parking adjacent on three levels. Love the lay back seats and plenty of leg room. Cinema is next to food court. Good stuff., 4 ,2022/05,0.0,0.706,0.294,0.875
"Super comfy chairs, good size screen, volume was good - Loud but not annoying.", 5 ,2022/05,0.0,0.494,0.506,0.804
"Great experience with open captions, being deaf, I drove over an hour to watch a movie with open captions that rarely happens, whilst hearing people are able to pop over to their local cinemas at any time. Be nice if there were more oc sessions at any time and at all cinemas.", 3 ,2022/05,0.0,0.874,0.126,0.7845
, 5 ,2022/04,0.0,0.0,0.0,0.0
"This is my all time favourite cinema. Absolutely love going there, and the staff are all exceptional. I spilt a coffee I just bought all over the seats and floor of the cinema. And was absolutely taken aback when the staff rushed in to get …", 5 ,2022/04,0.0,0.901,0.099,0.6697
, 5 ,2022/04,0.0,0.0,0.0,0.0
Seats don't recline. Very bad experience., 1 ,2022/04,0.0,0.62,0.38,0.4708
